nct_id,sponsor,start_date,completion_date,study_type,baseline_population,brief_title,official_title,overall_status,phase,enrollment,number_of_arms,interventions
NCT02466516,Gilead Sciences,08-JUN-15,11-OCT-16,Interventional,Safety Analysis Set included all participants who received at least 1 dose of study drug.,"Safety, Tolerability, and Efficacy of GS-4997 Alone or in Combination With Simtuzumab (SIM) in Adults With Nonalcoholic Steatohepatitis (NASH) and Fibrosis Stages F2-F3","A Phase 2, Randomized, Open Label Study Evaluating the Safety, Tolerability, and Efficacy of GS-4997 Alone or in Combination With Simtuzumab (SIM) in Subjects With Nonalcoholic Steatohepatitis (NASH) and Fibrosis Stages F2-F3",Completed,Phase 2,72,5,SEL|SIM
NCT02316717,Immuron Ltd.,31-DEC-14,30-OCT-17,Interventional,,A Phase ll Study of IMM-124E for Patients With Non-alcoholic Steatohepatitis,"A Phase ll, Randomized, Double-blind, Placebo-controlled Study of IMM-124E for Patients With Non-alcoholic Steatohepatitis.",Completed,Phase 2,133,3,IMM-124E|Placebo
NCT02330549,"Tobira Therapeutics, Inc.",17-JUL-15,08-SEP-16,Interventional,Safety population included all participants who received at least one dose of study drug.,ORION: Effects of Cenicriviroc on Insulin Sensitivity in Subjects With Prediabetes or Type 2 Diabetes Mellitus (T2DM) and Suspected NAFLD,ORION - Effect of CCR2 and CCR5 Antagonism by Cenicriviroc on Peripheral and Adipose Tissue Insulin Sensitivity in Adult Obese Subjects With Prediabetes or Type 2 Diabetes Mellitus and Suspected Non-Alcoholic Fatty Liver Disease (NAFLD),Completed,Phase 2,45,2,Cenicriviroc 150 mg|Placebo
NCT02461212,Resonance Health,01-JUL-15,17-MAR-17,Interventional,,Validation of HepaFat-Scan for Noninvasive Measurement of Steatosis in Youth,Validation of HepaFat-Scan for Noninvasive Measurement of Steatosis in Youth,Completed,Not Applicable,50,2,Magnetic Resonance Imaging (MRI)
NCT02605616,AstraZeneca,30-NOV-15,30-SEP-19,Interventional,The overall number of baseline participants does not differ from the number assigned to the arm or comparison group.,Use of a Novel Drug in People With Non-alcoholic Steatohepatitis (NASH) or Non-alcoholic Fatty Liver Disease (NAFLD),"A Randomized, Double-Blinded, Placebo-controlled Phase IIa Study to Assess the Efficacy and Safety of a Novel AstraZeneca Compound in Subjects With Non-alcoholic Steatohepatitis (NASH) or Non-alcoholic Fatty Liver Disease (NAFLD)",Terminated,Phase 2,93,2,AZ compound|Placebo
NCT02612662,AstraZeneca,24-NOV-15,26-AUG-22,Interventional,,A Study to Assess the Safety and Tolerability of Single Doses of AZD4076 in Healthy Male Subjects,"A Randomized, Single-blind, Placebo-controlled Study to Assess the Safety, Tolerability and Pharmacokinetics of AZD4076 Tetracosasodium Following Single-ascending Dose Administration to Healthy Male Subjects","Active, not recruiting",Phase 1,40,6,AZD4076|Placebo
NCT02491905,"Huons Co., Ltd.",30-NOV-13,31-MAY-15,Interventional,,Safety and Efficacy of HL Tablet in Non-alcoholic Fatty Liver Disease Patients,Phase 2 Study to Assess Safety and Efficacy of HL Tablet on Reducing Hepatic Fat in Non-alcoholic Fatty Liver Disease Patients,Completed,Phase 2,69,3,HL tablet|Placebo
NCT02653300,"Oramed, Ltd.",20-SEP-18,01-APR-20,Interventional,,A Pilot Study to Assess the Safety of Oral Insulin in Patients With Nonalcolholic Steatohepatitis (NASH),"An Open-Label Pilot Study to Assess the Safety, Pharmacokinetics, Pharmacodynamics and Potential of Oral Insulin to Reduce Liver Fat Content and Fibrosis in Patients With Nonalcolholic Steatohepatitis (NASH)",Completed,Phase 2,10,1,Oral Insulin
NCT02571192,"Mirum Pharmaceuticals, Inc.",01-OCT-15,01-OCT-15,Interventional,,A Study to Investigate How the Study Drug SHP626 is Eliminated From the Body After One Dose,"A Phase 1, Open-label Study to Investigate the Absorption, Distribution, Metabolism, and Excretion of [14C]-SHP626 Following a Single Oral Dose in Healthy Male Subjects",Completed,Phase 1,8,1,SHP626|5.95 μCi RAD
NCT02510599,"Melinta Therapeutics, Inc.",31-DEC-15,28-FEB-17,Interventional,,Safety and Efficacy of Solithromycin in the Treatment of Nonalcoholic Steatohepatitis Without Cirrhosis,"An Open Label, Proof of Principle Study to Evaluate the Efficacy and Safety of Solithromycin for the Treatment of Nonalcoholic Steatohepatitis Without Cirrhosis",Completed,Phase 2,10,1,solithromycin
NCT02546609,NuSirt Biopharma,19-NOV-15,31-JAN-17,Interventional,Demographic and other baseline characteristics were analyzed using the ITT Population with subjects who met the inclusion criteria.,The Effect Of NS-0200 Versus Placebo On Hepatic Fat Content In Patients With Non Alcoholic Fatty Liver Disease,"A Randomized, Blinded, Placebo-Controlled Study To Evaluate The Effect Fixed-Dose Leucine, Metformin, Sildenafil Combinations(NS-0200) Versus Placebo On Hepatic Fat Assessed By MRI In Non Alcoholic Fatty Liver Disease Patients",Completed,Phase 2,91,3,Leu-Met-Sil 0.5|Leu-Met-Sil 1.0|Placebo
NCT02548351,Intercept Pharmaceuticals,22-SEP-15,30-SEP-25,Interventional,,Randomized Global Phase 3 Study to Evaluate the Impact on NASH With Fibrosis of Obeticholic Acid Treatment,"A Phase 3, Double-Blind, Randomized, Long-Term, Placebo-Controlled, Multicenter Study Evaluating the Safety and Efficacy of Obeticholic Acid in Subjects With Nonalcoholic Steatohepatitis","Active, not recruiting",Phase 3,2480,3,Obeticholic Acid|Placebo
NCT02574325,Arisaph Pharmaceuticals Inc,31-OCT-15,31-DEC-16,Interventional,,A Study to Assess ARI-3037MO on Hepatic Fat Metabolism in Patients With Dysglycemia and Evidence of Hepatic Steatosis,,Unknown status,Phase 2,11,2,Placebo|ARI-3037MO
NCT02633956,Intercept Pharmaceuticals,04-DEC-15,12-MAR-18,Interventional,,Combination Obeticholic Acid (OCA) and Statins for Monitoring of Lipids (CONTROL),"A Phase 2, Randomized, Double Blind, Placebo Controlled Clinical Study Investigating the Effects of Obeticholic Acid and Atorvastatin Treatment on Lipoprotein Metabolism in Subjects With Nonalcoholic Steatohepatitis",Completed,Phase 2,84,4,Obeticholic Acid|Atorvastatin|Placebo
NCT02769091,"Teva Branded Pharmaceutical Products R&D, Inc.",30-SEP-16,28-FEB-18,Interventional,,A Study in Adult Patients With Nonalcoholic Steatohepatitis Who Also Have Type 2 Diabetes,"A 24-Week, Randomized, Double-blind, Placebo-controlled, Efficacy and Safety Study of 80 mg TEV-45478 Once Daily as Treatment in Adult Patients With Nonalcoholic Steatohepatitis (NASH) Who Also Have Type 2 Diabetes Mellitus - GN",Withdrawn,Phase 2,0,2,TEV-45478|Placebo
NCT02781584,Gilead Sciences,13-JUN-16,17-DEC-20,Interventional,,"Safety, Tolerability, and Efficacy of Selonsertib, Firsocostat, and Cilofexor in Adults With Nonalcoholic Steatohepatitis (NASH)","A Proof of Concept, Open-Label Study Evaluating the Safety, Tolerability, and Efficacy of Regimens in Subjects With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,220,13,SEL|FIR|CILO|FENO|VAS
NCT02808312,Gilead Sciences,13-JUL-16,16-OCT-18,Interventional,The Safety Analysis Set included all participants who took at least 1 dose of study drug.,Pharmacokinetics and Pharmacodynamics of Cilofexor in Adults With Normal and Impaired Hepatic Function,"A Phase 1 Open-Label, Parallel-Group, Adaptive, Single-Dose Study to Evaluate the Pharmacokinetics and Pharmacodynamics of GS-9674 in Subjects With Normal and Impaired Hepatic Function",Completed,Phase 1,57,6,Cilofexor
NCT02637973,Boehringer Ingelheim,31-DEC-15,31-AUG-18,Interventional,,"Effects of Empagliflozin on Liver Fat Content, Energy Metabolism and Body Composition in Patients With Type 2 Diabetes","Effects of Empagliflozin on Liver Fat Content, Energy Metabolism and Body Composition in Patients With Type 2 Diabetes",Completed,Phase 4,84,2,Empagliflozin|Placebo
NCT02649465,"Kowa Company, Ltd.",11-NOV-15,30-JUN-21,Interventional,,SGLT2 Inhibitor Versus Sulfonylurea on Type 2 Diabetes With NAFLD,Pleiotropic Effects and Safety of Sodium Glucose Co-transporter 2 Inhibitor Versus Sulfonylurea in Patients With Type 2 Diabetes and Non-alcoholic Fatty Liver,Completed,Phase 4,40,2,Tofogliflozin|Glimepiride
NCT02654002,Gilead Sciences,20-JAN-16,14-JUL-16,Interventional,The Safety Analysis Set included all randomized participants who took at least 1 dose of study drug. Participants were grouped according to the treatment they actually received.,"Study in Healthy Volunteers to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GS-9674 (Cilofexor), and the Effect of Food on GS-9674 Pharmacokinetics and Pharmacodynamics","A Phase 1 Study in Healthy Volunteers to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of GS-9674, and the Effect of Food on GS-9674 Pharmacokinetics and Pharmacodynamics",Completed,Phase 1,120,10,Cilofexor|Placebo
NCT02826525,AstraZeneca,18-JUL-16,11-OCT-19,Interventional,,AZD4076 in Type 2 Diabetic Subjects With Non-Alcoholic Fatty Liver Disease.,"Randomized, Single-blind, Placebo-controlled Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of AZD4076 Following Multiple Ascending Dose Administration to T2DM Subjects With Non-Alcoholic Fatty Liver Disease",Completed,Phase 1,14,2,AZD4076|Placebo
NCT02704403,Genfit,31-MAR-16,28-OCT-20,Interventional,,Phase 3 Study to Evaluate the Efficacy and Safety of Elafibranor Versus Placebo in Patients With Nonalcoholic Steatohepatitis (NASH),"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Phase III Study to Evaluate the Efficacy and Safety of Elafibranor in Patients With Nonalcoholic Steatohepatitis (NASH) and Fibrosis",Terminated,Phase 3,2157,2,Elafibranor|Placebo
NCT02856555,Gilead Sciences,08-AUG-16,18-JUL-17,Interventional,The Safety Analysis Set included participants who received at least 1 dose of study drug.,"Study to Evaluate Safety, Tolerability, and Efficacy of GS-0976 in Adults With Nonalcoholic Steatohepatitis","A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety, Tolerability, and Efficacy of GS-0976 in Subjects With Nonalcoholic Steatohepatitis",Completed,Phase 2,127,3,Firsocostat|Placebo
NCT02681055,MediciNova,31-MAR-16,01-OCT-19,Interventional,,Open-Label Study To Evaluate MN-001 on HDL & Triglyceride in NASH & NAFLD Subjects,"An Open-Label Study To Evaluate The Efficacy, Safety, Tolerability and PK of MN-001 (Tipelukast) on HDL Function and Serum Triglyceride Levels in NASH and Non-Alcoholic Fatty Liver Disease (NAFLD) Subjects With Hypertriglyceridemia",Completed,Phase 2,19,1,MN-001
NCT02686762,Conatus Pharmaceuticals Inc.,26-JAN-16,28-FEB-19,Interventional,,"Emricasan, a Caspase Inhibitor, for Evaluation in Subjects With Non-Alcoholic Steatohepatitis (NASH) Fibrosis","A Multicenter, Randomized, Double-Blind, Placebo-controlled Trial of Emricasan (IDN-6556-12), an Oral Caspase Inhibitor, in Subjects With Non-alcoholic Steatohepatitis (NASH) Fibrosis",Completed,Phase 2,318,3,Emricasan (5 mg)|Emricasan (50 mg)|Placebo
NCT02784444,"Cirius Therapeutics, Inc.|Chiltern International Inc.",14-SEP-16,30-JUN-19,Interventional,,"A Study to Evaluate the Safety, Tolerability & Efficacy of MSDC-0602K in Patients With NASH","A Phase 2, Randomized, Double-Blind, Placebo-Controlled, 12-Month, Multiple-Dose Study to Evaluate the Safety, Tolerability and Efficacy of Three Dose Levels of MSDC-0602K in Patients With NASH (EMMINENCE™)",Completed,Phase 2,392,4,MSDC-0602K|Placebo
NCT02787304,"Mirum Pharmaceuticals, Inc.",24-OCT-16,27-JUL-18,Interventional,,Volixibat (SHP626) in the Treatment of Adults With Nonalcoholic Steatohepatitis (NASH),"A Phase 2 Double-blind, Randomized, Placebo-controlled, Dose-finding Study to Evaluate the Safety, Tolerability and Efficacy of Volixibat Potassium, an Apical Sodium-Dependent Bile Acid Transporter Inhibitor (ASBTi) in Adults With Nonalcoholic Steatohepatitis (NASH)",Terminated,Phase 2,197,4,SHP626|Placebo
NCT02891408,Gilead Sciences,23-SEP-16,13-MAY-19,Interventional,The Safety Analysis Set included all participants who took at least 1 dose of study drug.,Study to Evaluate the Pharmacokinetics of Firsocostat or Fenofibrate in Adults With Normal and Impaired Hepatic Function,"A Phase 1 Open-Label, Parallel-Group, Single-Dose Study to Evaluate the Pharmacokinetics of GS-0976 or Fenofibrate in Subjects With Normal and Impaired Hepatic Function",Completed,Phase 1,74,8,Firsocostat|Fenofibrate
NCT02923154,Mitsubishi Tanabe Pharma Corporation,30-SEP-16,30-APR-19,Interventional,,Efficacy and Safety of MT-3995 in Patients With Non-Alcoholic Steatohepatitis(NASH),An Exploratory Study of MT-3995 in Patients With Non-Alcoholic Steatohepatitis(NASH) (Placebo-Controlled Double-Blind Study),Completed,Phase 2,48,2,MT-3995|Placebo
NCT02930161,POLYSAN Scientific & Technological Pharmaceutical Company,30-MAY-16,10-OCT-18,Interventional,,Runihol in Nonalcoholic Fatty Liver Disease and Metabolic Syndrome,Многоцентровое двойное слепое плацебо-контролируемое рандомизированное исследование препарата Рунихол® у пациентов с неалкогольной жировой болезнью печени на фоне метаболического синдрома,Terminated,Phase 2,35,3,Runihol|Placebo
NCT02854605,Gilead Sciences,26-OCT-16,09-JAN-18,Interventional,Safety Analysis Set included all participants who took at least 1 dose of study drug.,"Evaluating the Safety, Tolerability, and Efficacy of GS-9674 in Participants With Nonalcoholic Steatohepatitis (NASH)","A Phase 2, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety, Tolerability, and Efficacy of GS-9674 in Subjects With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,140,3,GS-9674|Placebo to match GS-9674
NCT02960204,Histogen,17-OCT-16,08-APR-19,Interventional,,"Emricasan, an Oral Caspase Inhibitor, in Subjects With NASH Cirrhosis and Severe Portal Hypertension","A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial of Emricasan, an Oral Caspase Inhibitor, in Subjects With Non-Alcoholic Steatohepatitis (NASH) Cirrhosis and Severe Portal Hypertension",Completed,Phase 2,263,4,Emricasan|Placebo
NCT03008070,Inventiva Pharma,07-FEB-17,16-MAR-20,Interventional,,Phase 2b Study in NASH to Assess IVA337,"A Randomized, Double-blind, Placebo-controlled, Multicenter, Dose-range, Proof-of-concept, 24-week Treatment Study of IVA337 in Adult Subjects With Nonalcoholic Steatohepatitis (NASH)",Completed,Phase 2,247,3,IVA337|IVA337|Placebo
NCT03028740,"Tobira Therapeutics, Inc.",05-APR-17,09-MAR-21,Interventional,Modified Intent-to-Treat (mITT) Population for the Full Study Cohort included participants randomly assigned to a treatment group who received at least one dose of study drug in Parts 1 and 2 of the study combined.,AURORA: A Study for the Efficacy and Safety of Cenicriviroc (CVC) for the Treatment of Liver Fibrosis in Adults With Nonalcoholic Steatohepatitis (NASH),"AURORA: A Phase 3, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Cenicriviroc for the Treatment of Liver Fibrosis in Adult Subjects With Nonalcoholic Steatohepatitis",Terminated,Phase 3,1778,2,Placebo|Cenicriviroc
NCT02855164,Novartis Pharmaceuticals,01-AUG-16,06-APR-20,Interventional,"Full analysis set (FAS) was all subjects to whom study treatment had been assigned. Following the intent-to-treat (ITT) principle, subjects were analyzed according to the treatment they have been assigned to at randomization.",Study of Safety and Efficacy of Tropifexor (LJN452) in Patients With Non-alcoholic Steatohepatitis (NASH),"A Randomized, Double-blind, Placebo Controlled, 3- Part, Adaptive Design, Multicenter Study to Assess Safety, Tolerability and Efficacy of Tropifexor (LJN452) in Patients With Non-alcoholic Steatohepatitis (NASH): FLIGHT-FXR",Terminated,Phase 2,350,8,Tropifexor (LJN452)|Placebo
NCT02918929,Enanta Pharmaceuticals,30-SEP-16,30-JUN-17,Interventional,,A Study of EDP 305 in Healthy Subjects and Subjects With Presumptive NAFLD,"A Randomized, Double-Blind, Placebo-Controlled, First-In-Human Study of Orally Administered EDP-305 to Evaluate the Safety, Tolerability, and Pharmacokinetics of Single Ascending Doses (SAD), Multiple Ascending Doses (MAD) and the Effect of Food on EDP-305 Pharmacokinetics in Healthy Subjects, and of Multiple Ascending Doses (MAD) in Subjects With Presumptive NAFLD",Completed,Phase 1,146,4,EDP 305|Placebo
NCT02912260,"Madrigal Pharmaceuticals, Inc.",30-SEP-16,30-APR-18,Interventional,,Phase 2 Study of MGL-3196 in Patients With Non-Alcoholic Steatohepatitis (NASH),"A Phase 2, Multi-Center, Double-Blind, Randomized, Placebo-controlled Study of MGL-3196 in Patients With Non-alcoholic Steatohepatitis",Unknown status,Phase 2,125,2,MGL-3196|Placebo
NCT02913105,Novartis Pharmaceuticals,24-OCT-16,19-SEP-18,Interventional,Safety analysis set included all participants that received at least one dose of study drug.,"Safety, Tolerability, Pharmacokinetics and Efficacy of LMB763 in Patients With NASH","A Randomized, Patient and Investigator Blinded, Placebo Controlled, Multicenter Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of LMB763 in Patients With Non-alcoholic Steatohepatitis (NASH)",Terminated,Phase 2,122,2,LMB763|Placebo
NCT02923804,Pronova BioPharma,31-OCT-15,01-DEC-17,Interventional,,Evaluation of MF4637 for Correcting the Omega-3 Nutritional Deficiency in NAFLD Patients,"A Randomized, Double-Blind, Placebo-Controlled Evaluation of MF4637 for Correcting the Omega-3 Nutritional Deficiency in NAFLD Patients When Added to Standard of Care",Completed,Not Applicable,172,2,Omega-3|Olive oil
NCT02927184,"Viking Therapeutics, Inc.",28-SEP-16,26-MAR-19,Interventional,,Safety and Tolerability of VK2809 in Patients With Primary Hypercholesterolemia and Non-Alcoholic Fatty Liver Disease,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Assess The Efficacy, Safety, and Tolerability of VK2809 Administered for 12 Weeks Followed by a 4-Week Off-Drug Phase in Patients With Primary Hypercholesterolemia and Non-Alcoholic Fatty Liver Disease",Completed,Phase 2,59,4,VK2809|Placebo
NCT03053063,Gilead Sciences,30-JAN-17,06-MAY-19,Interventional,The Safety Analysis Set included all participants who received at least 1 dose of study drug.,Safety and Efficacy of Selonsertib in Adults With Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis (NASH),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Selonsertib in Subjects With Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis (NASH)",Terminated,Phase 3,883,3,SEL|Placebo to match SEL 6 mg|Placebo to match SEL 18 mg
NCT03059446,"Tobira Therapeutics, Inc.",14-FEB-17,05-JAN-21,Interventional,Safety Population included all participants who received at least one dose of study drug.,Rollover Study of Cenicriviroc for the Treatment of Liver Fibrosis in Participants With Nonalcoholic Steatohepatitis,Open-label Rollover Study of Cenicriviroc for the Treatment of Liver Fibrosis in Adult Subjects With Nonalcoholic Steatohepatitis (NASH),Terminated,Phase 2,167,1,Cenicriviroc
NCT03060538,"Genentech, Inc.",05-MAR-17,13-DEC-19,Interventional,,A Multiple Ascending Dose Study to Evaluate Safety and Tolerability of BFKB8488A in Participants With Type 2 Diabetes Mellitus and Participants With Non-Alcoholic Fatty Liver Disease,"A Phase Ib, Randomized, Blinded, Placebo-Controlled, Multiple Ascending-Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of Subcutaneous BFKB8488A in Patients With Type 2 Diabetes Mellitus and Patients With Non-Alcoholic Fatty Liver Disease",Completed,Phase 1,154,2,BFKB8488A|Placebo
NCT03068078,Novo Nordisk A/S,30-NOV-16,04-JUN-21,Interventional,,A Reduced-carbohydrate Diet High in Monounsaturated Fats in Type 2 Diabetes,"A Reduced-carbohydrate Diet High in Monounsaturated Fats in Type 2 Diabetes: a Six-month Study of Changes in Metabolism, Liver- and Cardiovascular Function (ReDuCtion)",Completed,Not Applicable,185,2,Low carbohydrate diet high in monounsaturated fats
NCT02927314,Can-Fite BioPharma,27-NOV-17,01-MAR-20,Interventional,,A Study of the Efficacy and Safety of CF102 in the Treatment of Non-Alcoholic Fatty Liver Disease,"A Phase 2, Randomized, Double-Blind, Placebo-Controlled, Dose-Finding Study of the Efficacy and Safety of CF102 in the Treatment of Non-Alcoholic Fatty Liver Disease (NAFLD) and Non-Alcoholic Steatohepatitis (NASH)",Completed,Phase 2,60,3,CF102|Placebo
NCT02941549,Afimmune,24-NOV-16,02-JAN-19,Interventional,The Full Analysis Set (FAS) includes all randomised patients who received at least one administration of study treatment and have at least one post-baseline measurement.,Safety And Efficacy Study Of Orally Administered Epeleuton In Patients With NAFLD,"A Randomised, Double-Blind, Placebo-Controlled, Exploratory Phase IIa Study To Assess The Safety And Efficacy Of Orally Administered Epeleuton In NAFLD Patients.",Completed,Phase 2,96,3,Placebo capsules|Epeleuton
NCT02947568,Fresenius Medical Care North America,31-MAR-16,31-DEC-20,Observational,,Genetical Background of Non-alcoholic Fatty Liver Disease (NAFLD) in Diabetes Mellitus and in Chronic Kidney Disease,Genetical Background of Non-alcoholic Fatty Liver Disease (NAFLD) in Diabetes Mellitus and in Chronic Kidney Disease,Unknown status,,600,,non-interventional study
NCT02985450,GlaxoSmithKline,31-AUG-16,31-JAN-21,Observational,7 patients lost to follow-up.,A Prospective Study of HBV Immunity and HBV Vaccination in Patients With NAFLD in Canada,A Prospective Study of Hepatitis B Virus (HBV) Immunity and Hepatitis B Vaccination in Patients With Non Alcoholic Fatty Liver Disease (NAFLD) in Canada,Completed,,82,,Engerix-B
NCT02962297,"R&G Pharma Studies Co.,Ltd.|Zhejiang Medicine Co., Ltd.",31-DEC-16,17-DEC-21,Interventional,,Vitamin E Versus Placebo for the Treatment of Non Diabetic Patients With Nonalcoholic Steatohepatitis,"VENS is a Multicenter, Randomized, Double-masked, Placebo Parallel Controlled Trial to Evaluate the Efficacy and Safety of Treatment With Vitamin E Softgel in Non Diabetic Adults With NASH Compared to Treatment With Placebo in China",Completed,Not Applicable,120,2,Vitamin E softgel|Placebo
NCT02970942,Novo Nordisk A/S,30-NOV-16,19-MAR-20,Interventional,The full analysis set included all randomised participants.,Investigation of Efficacy and Safety of Three Dose Levels of Subcutaneous Semaglutide Once Daily Versus Placebo in Subjects With Non-alcoholic Steatohepatitis.,This Trial is Conducted Globally. The Aim of This Trial is to Investigate Efficacy and Safety of Three Dose Levels of Subcutaneous Semaglutide Once Daily Versus Placebo in Subjects With Non-alcoholic Steatohepatitis,Completed,Phase 2,320,6,Semaglutide|Placebo
NCT02974374,Pfizer,31-OCT-16,31-JAN-17,Interventional,,Single Dose of PF-06835919 Escalation Study in Healthy Adult Subjects,"A Phase 1, Randomized, Double-blind, Placebo-controlled Study To Assess Safety, Tolerability And Pharmacokinetics Of Single, Escalating, Oral Doses Of Pf-06835919 In Healthy Adult Subjects",Completed,Phase 1,16,2,PF-06835919|Placebo
NCT03143166,Boehringer Ingelheim,22-MAY-17,02-AUG-17,Interventional,Treated set (TS) : All enrolled subjects provided with trial medication and documented to have taken at least 1 dose of trial medication were included in the TS.,Pradaxa Tablet Proton Pump Inhibitor (PPI) Bioavailability (BA) Study in Japan,"Relative Bioavailability of Tablet Formulation of Dabigatran Etexilate With and Without Co-administration of Rabeprazole in Healthy Male Subjects (an Open-label, Single-dose, Two-period, Single-arm Study)",Completed,Phase 1,36,1,Dabigatran Etexilate|Rabeprazol sodium
NCT03163810,Erchonia Corporation,06-FEB-17,13-DEC-17,Interventional,,A Study to See if Low Level Laser Light Therapy (LLLT) Can Improve the Condition of Nonalcoholic Steatohepatitis (NASH),A Pilot Evaluation of the Effect of the Erchonia Verjú™ and EVRL Lasers on Reducing Aminoalanine Transaminase (ALT) in Individuals With Nonalcoholic Steatohepatitis (NASH),Withdrawn,Not Applicable,0,1,Erchonia Verju Laser|Erchonia EVRL Laser
NCT03042767,Immuron Ltd.,01-FEB-17,23-OCT-19,Interventional,,Anti-LPS Antibody Treatment for Pediatric NAFLD,Anti-LPS Antibody in Pediatric Nonalcoholic Fatty Liver Disease,Completed,Phase 2,40,2,IMM-124E|Placebo
NCT03213145,Enanta Pharmaceuticals,11-JUL-17,07-SEP-17,Interventional,,"Drug-drug Interaction Study Between EDP-305, Intraconazole and Rifampin in Healthy Volunteers","A Non-Randomized, Open-Label, Two-Part, Drug-Drug Interaction Study to Evaluate the Effects of Itraconazole and Rifampin on the Pharmacokinetics and Safety of EDP-305 in Healthy Volunteers",Completed,Phase 1,48,2,intraconazole|Rifampin|EDP 305
NCT03222206,"Kuhnil Pharmaceutical Co., Ltd.",08-NOV-17,22-FEB-19,Interventional,,The Comparison of Effect Between Salsalate and Placebo in Osteoarthritis With Nonalcoholic Fatty Liver Disease,"The Comparison of Effect Between Salsalate and Placebo in Osteoarthritis With Nonalcoholic Fatty Liver Disease: Investigator Initiated Randomized Placebo-controlled Double-blind, Pilot Study",Completed,Phase 4,34,2,Salsalate|Placebo
NCT03053050,Gilead Sciences,13-FEB-17,19-JUN-19,Interventional,The Safety Analysis Set included all participants who received at least 1 dose of study drug.,Safety and Efficacy of Selonsertib in Adults With Nonalcoholic Steatohepatitis (NASH) and Bridging (F3) Fibrosis,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Safety and Efficacy of Selonsertib in Subjects With Nonalcoholic Steatohepatitis (NASH) and Bridging (F3) Fibrosis",Terminated,Phase 3,808,3,SEL|Placebo to match SEL 6 mg|Placebo to match SEL 18 mg
NCT03061721,Zydus Therapeutics Inc.,06-APR-17,15-DEC-20,Interventional,,Saroglitazar Magnesium in Patients With Nonalcoholic Fatty Liver Disease and/or Nonalcoholic Steatohepatitis,"A Phase 2, Prospective, Multicenter, Double-blind, Randomized Study of Saroglitazar Magnesium 1 mg, 2 mg or 4 mg Versus Placebo in Patients With Nonalcoholic Fatty Liver Disease and/or Nonalcoholic Steatohepatitis",Completed,Phase 2,106,4,Saroglitazar magnesium 1 mg|Saroglitazar magnesium 2 mg|Saroglitazar magnesium 4 mg|Placebos
NCT03294941,"HepQuant, LLC",08-DEC-17,11-SEP-19,Interventional,,The HepQuant SHUNT Test for Monitoring Liver Disease and Treatment Effects by Measuring Liver Function and Physiology,The HepQuant SHUNT Test for Monitoring Liver Disease and Treatment Effects by Measuring Liver Function and Physiology,Terminated,Phase 2,17,1,HepQuant SHUNT Liver Diagnostic Kit
NCT03132662,Neptune,01-JAN-19,01-DEC-19,Interventional,,Omega-3 vs Very Low Calorie Diet for Liver Size Reduction,Comparative Trial of Omega-3 Polyunsaturated Fatty Acids vs a Very Low Calorie Liquid Diet for Liver Volume Reduction Prior to Bariatric Surgery,Unknown status,Not Applicable,60,3,Omega-3|Very Low Calorie Diet
NCT03166735,Boehringer Ingelheim,06-JUN-17,14-JUN-19,Interventional,Treated Set (TS): all patients who signed the informed consent and were treated with at least one dose of the trial medication.,Different Doses of BI 1467335 Compared to Placebo in Patients With Clinical Evidence of NASH,"A Multi-centre, Double-blind, Parallel-group, Randomised, Placebo Controlled Phase II a Study to Investigate Safety, Tolerability, Pharmacodynamics, and Pharmacokinetics of Different Doses of Orally Administered BI 1467335 During a 12-week Treatment Period Compared to Placebo in Patients With Clinical Evidence of NASH.",Completed,Phase 2,114,5,BI 1467335|Placebo
NCT03198104,Perspectum,01-APR-16,31-MAR-19,Observational,,Assessing Kids for Liver Inflammation and Fibrosis Using Non-invasive MRI,Assessing Kids for Liver Inflammation and Fibrosis Using Non-invasive MRI,Completed,,35,,MRI
NCT03205150,Novartis Pharmaceuticals,04-OCT-17,14-NOV-19,Interventional,,Effect of LIK066 on Reduction of Fatty Content in Livers of Obese Patients,"A 12-week Randomized, Patient and Investigator Blinded, Placebo-controlled, Parallel Group Study to Investigate the Efficacy of LIK066 in Obese Patients With Non-alcoholic Steatohepatitis (NASH)",Completed,Phase 2,107,3,LIK066|Placebo
